lot_area,year_built,gr_liv_area,bedrooms,bathrooms,garage_cars,neighborhood,sale_type,sale_price
13664,1962,796,1,2.5,1.0,NWAmes,WD,134400
6750,1908,859,2,1.5,3.0,NWAmes,New,100600
7408,1900,1696,4,1.0,3.0,BrkSide,WD,151800
7850,1922,720,6,2.0,2.0,Gilbert,WD,84800
3919,2015,1321,1,1.0,1.0,Gilbert,WD,160800
15228,2018,1565,2,2.5,0.0,Somerst,WD,133700
17958,1950,1666,2,2.0,1.0,NWAmes,WD,147600
6970,2020,1443,5,1.5,3.0,Gilbert,WD,172000
11779,1906,1354,1,2.0,2.0,BrkSide,New,172700
8667,2019,1838,5,,2.0,Sawyer,WD,183800
11663,1928,1614,3,1.5,3.0,Gilbert,WD,150200
7232,1904,1241,3,1.5,1.0,Sawyer,WD,129200
6363,1993,1515,7,2.5,2.0,OldTown,WD,211800
16748,1947,1653,6,3.0,1.0,CollgCr,WD,157500
9586,1936,2187,6,2.5,1.0,CollgCr,WD,185100
27202,1994,1815,7,1.5,3.0,Gilbert,WD,232600
10129,1941,1986,2,3.0,3.0,Sawyer,WD,217900
6229,1993,1256,6,1.0,1.0,CollgCr,WD,160300
18278,1924,1290,2,1.5,1.0,CollgCr,New,121300
13567,1910,1406,3,1.0,2.0,NWAmes,WD,156200
14235,1940,1443,4,3.0,0.0,BrkSide,WD,106900
17949,1975,1097,6,1.0,2.0,OldTown,WD,137200
7141,1927,2006,5,2.0,2.0,BrkSide,WD,213900
9287,1917,1853,4,1.0,1.0,CollgCr,WD,187900
9084,1992,1378,3,1.5,1.0,CollgCr,WD,166900
5191,1961,1757,5,,1.0,Gilbert,WD,131100
8675,1953,1589,4,3.0,3.0,Sawyer,COD,157900
19306,1929,1788,4,1.0,1.0,BrkSide,WD,148300
11144,1902,962,5,1.0,2.0,OldTown,WD,116900
5049,1906,1442,5,1.5,1.0,OldTown,WD,110900
4546,1984,1477,3,3.0,2.0,NWAmes,WD,168300
22752,1909,1749,1,1.0,1.0,NWAmes,WD,189000
9460,1930,1249,3,1.0,0.0,CollgCr,COD,128500
7160,2012,500,3,2.0,2.0,Gilbert,WD,132300
8630,1942,1067,2,1.5,2.0,CollgCr,New,117700
4728,1992,1476,2,1.0,1.0,BrkSide,WD,130800
20162,1942,1526,7,2.0,1.0,CollgCr,New,126800
8131,2015,2173,2,2.5,3.0,Gilbert,ConLD,199200
19608,2001,1733,6,1.0,1.0,NWAmes,COD,181900
10156,1958,1533,1,2.5,1.0,OldTown,WD,164200
20227,1984,1487,7,1.0,2.0,Gilbert,New,154500
11253,1951,1942,2,2.5,1.0,CollgCr,WD,179900
