sepal_length,sepal_width,petal_length,petal_width,species
6.54,2.98,6.07,1.76,virginica
6.36,4.24,6.33,2.01,virginica
4.59,3.42,1.79,0.16,setosa
4.77,3.56,1.45,0.39,setosa
6.82,2.55,5.79,1.62,virginica
5.65,2.98,4.38,1.61,versicolor
6.79,2.45,5.46,2.22,virginica
6.49,3.28,5.13,2.29,virginica
6.33,2.09,3.47,1.18,versicolor
6.24,1.66,4.36,1.51,versicolor
5.04,3.65,1.1,0.44,setosa
6.52,2.91,6.59,1.99,virginica
5.29,3.92,2.56,0.12,setosa
5.02,3.5,0.98,0.21,setosa
6.89,3.35,5.89,1.57,virginica
4.46,3.81,1.04,0.44,setosa
5.62,2.76,4.25,1.55,versicolor
5.06,3.46,2.12,0.37,setosa
4.57,3.21,1.44,0.85,setosa
5.26,4.29,1.56,0.24,setosa
5.04,3.24,1.0,0.29,setosa
4.38,3.0,2.51,0.51,setosa
6.35,3.52,5.65,1.99,virginica
4.9,3.72,1.89,0.21,setosa
5.45,3.3,1.1,0.62,setosa
6.39,2.7,4.96,2.06,virginica
6.9,2.74,5.95,1.96,virginica
5.78,3.0,4.02,1.06,versicolor
4.64,3.08,1.13,0.26,setosa
5.72,2.53,4.78,1.16,versicolor
6.04,2.42,3.34,1.32,versicolor
6.68,2.95,4.87,2.29,virginica
6.96,3.41,5.87,1.95,virginica
4.77,3.39,1.58,0.4,setosa
5.11,3.69,1.51,0.32,setosa
6.48,3.41,5.84,2.07,virginica
6.62,3.14,4.98,1.95,virginica
6.55,2.98,6.09,1.89,virginica
5.08,3.8,1.27,0.47,setosa
6.29,3.21,5.18,2.16,virginica
6.24,3.82,5.95,2.48,virginica
5.32,3.47,3.73,1.91,versicolor
4.82,3.66,0.57,0.35,setosa
5.85,3.28,4.35,0.75,versicolor
6.27,2.87,5.58,1.83,virginica
6.6,3.19,4.96,1.94,virginica
5.99,2.78,4.55,1.54,versicolor
6.94,2.47,4.88,1.06,versicolor
6.08,2.65,5.85,2.12,virginica
5.22,3.52,1.77,0.47,setosa
4.4,3.79,1.7,0.21,setosa
5.93,2.47,3.87,1.14,versicolor
6.11,3.43,4.8,1.69,virginica
4.55,4.17,1.0,-0.11,setosa
6.7,2.47,5.62,2.09,virginica
5.31,3.28,1.52,0.08,setosa
6.57,2.85,4.84,2.19,virginica
5.27,3.71,1.6,-0.31,setosa
5.2,4.09,1.99,0.1,setosa
5.73,2.53,4.59,1.34,versicolor
4.22,3.47,1.7,-0.18,setosa
4.91,3.6,2.03,-0.1,setosa
6.71,2.86,3.99,1.77,versicolor
5.06,2.96,4.27,0.91,versicolor
4.92,3.39,2.91,0.24,setosa
6.67,2.59,5.14,2.22,virginica
6.02,2.6,5.49,2.16,virginica
5.97,2.34,4.86,1.94,virginica
5.86,2.36,5.02,1.44,versicolor
4.78,3.71,1.23,0.43,setosa
6.33,2.66,4.74,2.07,virginica
5.04,3.28,1.32,0.37,setosa
6.15,3.31,4.9,1.34,versicolor
5.42,2.64,4.74,0.85,versicolor
6.71,3.22,4.81,2.19,virginica
4.88,3.57,1.08,-0.25,setosa
5.52,3.2,4.1,1.36,versicolor
4.95,4.54,1.8,0.34,setosa
7.13,2.66,5.15,2.32,virginica
6.13,3.66,4.62,1.38,versicolor
4.51,3.45,0.8,-0.03,setosa
6.1,2.46,4.79,1.23,versicolor
4.55,3.41,1.31,0.52,setosa
4.93,3.36,1.67,0.69,setosa
5.62,2.06,4.03,1.37,versicolor
6.24,3.3,5.35,1.93,virginica
6.16,3.6,5.76,1.96,virginica
6.76,3.39,5.68,2.22,virginica
5.27,3.14,0.65,0.38,setosa
6.35,2.95,4.11,0.85,versicolor
5.23,3.09,1.1,0.39,setosa
5.62,3.49,1.24,0.68,setosa
5.29,3.63,1.74,-0.14,setosa
4.89,3.08,2.04,-0.17,setosa
5.78,2.98,3.61,1.69,versicolor
5.0,3.62,1.33,0.53,setosa
4.89,2.85,1.59,0.46,setosa
7.02,2.75,5.27,1.62,virginica
6.33,1.9,5.66,2.14,virginica
6.84,3.07,5.35,2.11,virginica
6.12,2.71,4.79,1.61,versicolor
5.25,3.55,2.04,0.06,setosa
7.02,3.39,6.13,1.66,virginica
6.5,2.75,3.86,1.45,versicolor
5.51,2.83,3.83,1.4,versicolor
6.26,2.73,4.44,1.34,versicolor
6.12,2.76,3.49,1.5,versicolor
5.48,3.28,1.07,0.81,setosa
6.41,2.81,5.56,2.09,virginica
4.82,3.59,1.37,0.46,setosa
4.72,3.85,1.8,0.2,setosa
6.68,2.98,4.47,1.72,virginica
6.37,3.14,6.03,2.41,virginica
6.65,3.66,6.44,2.08,virginica
6.06,2.39,4.85,1.63,versicolor
5.34,2.64,2.6,0.04,setosa
6.58,3.38,5.79,2.07,virginica
4.99,3.36,1.48,-0.02,setosa
6.56,2.61,5.61,1.9,virginica
5.0,3.31,1.6,0.26,setosa
4.65,4.03,1.71,0.19,setosa
5.94,2.94,4.07,1.53,versicolor
5.35,3.41,1.07,0.38,setosa
6.2,2.47,4.53,1.03,versicolor
6.24,2.71,4.27,1.58,versicolor
7.04,3.28,5.63,2.17,virginica
4.52,3.37,0.89,0.3,setosa
4.56,3.26,1.55,0.08,setosa
5.88,3.36,3.97,1.2,versicolor
6.63,2.84,5.05,1.15,versicolor
4.64,2.86,2.13,-0.02,setosa
6.47,2.92,4.13,1.25,versicolor
5.71,3.18,3.78,1.15,versicolor
5.09,3.48,1.62,0.44,setosa
5.37,3.36,1.55,0.26,setosa
6.1,2.67,6.21,2.17,virginica
4.87,3.61,1.18,0.12,setosa
5.9,2.57,4.08,1.15,versicolor
6.87,3.7,4.8,2.13,virginica
5.35,2.54,2.59,0.31,setosa
4.98,3.42,0.95,0.23,setosa
7.81,3.11,5.62,2.27,virginica
6.44,2.42,4.33,1.05,versicolor
6.24,3.03,6.44,1.94,virginica
6.24,2.88,6.01,2.13,virginica
6.34,3.25,4.23,1.08,versicolor
5.49,2.77,5.16,1.45,versicolor
7.09,2.56,4.59,2.02,virginica
5.1,2.71,1.46,0.5,setosa
6.69,3.04,4.5,2.14,virginica
6.31,2.69,6.54,2.11,virginica
5.89,3.31,5.22,1.13,versicolor
6.51,2.91,5.16,1.41,versicolor
4.41,3.32,0.76,0.46,setosa
5.13,2.27,4.74,1.41,versicolor
4.59,3.2,0.91,-0.03,setosa
6.26,2.76,5.3,2.31,virginica
5.22,3.33,4.26,1.14,versicolor
6.73,3.43,5.6,2.15,virginica
5.57,2.88,4.36,1.19,versicolor
4.14,3.09,1.52,0.26,setosa
6.3,2.4,4.62,1.53,versicolor
6.34,3.38,4.85,1.27,versicolor
4.2,3.45,0.63,0.2,setosa
6.9,3.16,5.63,2.34,virginica
